train_size,handwritten_accuracy,printed_accuracy
0.35,0.7850467289719626,0.7068965517241379
0.37,0.75,0.7192982456140351
0.38,0.7425742574257426,0.7454545454545455
0.40,0.8080808080808081,0.6851851851851852
0.42,0.78125,0.7307692307692307
0.44,0.7741935483870968,0.7450980392156863
0.45,0.7666666666666667,0.6938775510204082
0.47,0.7471264367816092,0.7291666666666666
0.49,0.75,0.717391304347826
0.51,0.8048780487804879,0.7555555555555555
0.52,0.7088607594936709,0.7441860465116279
0.54,0.6973684210526315,0.7317073170731707
0.56,0.7808219178082192,0.725
0.57,0.7714285714285715,0.7105263157894737
0.59,0.75,0.7027027027027027
0.61,0.7692307692307693,0.7714285714285715
0.63,0.7580645161290323,0.7058823529411765
0.64,0.8135593220338984,0.6875
0.66,0.8035714285714286,0.6774193548387096
0.68,0.7358490566037735,0.7241379310344828
0.69,0.803921568627451,0.6785714285714286
0.71,0.75,0.7307692307692307
0.73,0.8444444444444444,0.6
0.75,0.7619047619047619,0.6521739130434783
0.76,0.6410256410256411,0.7272727272727273
0.78,0.7777777777777778,0.75
0.80,0.7352941176470589,0.6666666666666666
0.82,0.7741935483870968,0.7647058823529411
0.83,0.6071428571428571,0.8
0.85,0.84,0.7857142857142857
mean±std,0.7611±0.0494,0.7188±0.0404
